Frame,Time(s),Position_X,Position_Y,Position_Z,Velocity_X,Velocity_Y,Velocity_Z,Speed,Acceleration_X,Acceleration_Y,Acceleration_Z,Acc_Magnitude,Force_X,Force_Y,Force_Z,Force_Magnitude,Momentum_X,Momentum_Y,Momentum_Z,Momentum_Magnitude,Impact_Displacement,Backing_Displacement,Kinetic_Energy,Potential_Energy,Total_Energy,Event
1,0.017,-4.9916,5,0.75,0.5033,0,0,0.5033,0.2,0,0,0.2,0.4,0,0,0.4,1.0067,0,0,1.0067,0.0084,0,0.2533,14.715,14.9683,
2,0.033,-4.9832,5,0.75,0.5067,0,0,0.5067,0.2,0,0,0.2,0.4,0,0,0.4,1.0133,0,0,1.0133,0.0168,0,0.2567,14.715,14.9717,
3,0.05,-4.9747,5,0.75,0.51,0,0,0.51,0.2,0,0,0.2,0.4,0,0,0.4,1.02,0,0,1.02,0.0253,0,0.2601,14.715,14.9751,
4,0.067,-4.9661,5,0.75,0.5133,0,0,0.5133,0.2,0,0,0.2,0.4,0,0,0.4,1.0267,0,0,1.0267,0.0339,0,0.2635,14.715,14.9785,
5,0.083,-4.9575,5,0.75,0.5167,0,0,0.5167,0.2,0,0,0.2,0.4,0,0,0.4,1.0333,0,0,1.0333,0.0425,0,0.2669,14.715,14.9819,
6,0.1,-4.9488,5,0.75,0.52,0,0,0.52,0.2,0,0,0.2,0.4,0,0,0.4,1.04,0,0,1.04,0.0512,0,0.2704,14.715,14.9854,
7,0.117,-4.9401,5,0.75,0.5233,0,0,0.5233,0.2,0,0,0.2,0.4,0,0,0.4,1.0467,0,0,1.0467,0.0599,0,0.2739,14.715,14.9889,
8,0.133,-4.9313,5,0.75,0.5267,0,0,0.5267,0.2,0,0,0.2,0.4,0,0,0.4,1.0533,0,0,1.0533,0.0687,0,0.2774,14.715,14.9924,
9,0.15,-4.9225,5,0.75,0.53,0,0,0.53,0.2,0,0,0.2,0.4,0,0,0.4,1.06,0,0,1.06,0.0775,0,0.2809,14.715,14.9959,
10,0.167,-4.9136,5,0.75,0.5333,0,0,0.5333,0.2,0,0,0.2,0.4,0,0,0.4,1.0667,0,0,1.0667,0.0864,0,0.2844,14.715,14.9994,
11,0.183,-4.9047,5,0.75,0.5367,0,0,0.5367,0.2,0,0,0.2,0.4,0,0,0.4,1.0733,0,0,1.0733,0.0953,0,0.288,14.715,15.003,
12,0.2,-4.8957,5,0.75,0.54,0,0,0.54,0.2,0,0,0.2,0.4,0,0,0.4,1.08,0,0,1.08,0.1043,0,0.2916,14.715,15.0066,
13,0.217,-4.8866,5,0.75,0.5433,0,0,0.5433,0.2,0,0,0.2,0.4,0,0,0.4,1.0867,0,0,1.0867,0.1134,0,0.2952,14.715,15.0102,
14,0.233,-4.8775,5,0.75,0.5467,0,0,0.5467,0.2,0,0,0.2,0.4,0,0,0.4,1.0933,0,0,1.0933,0.1225,0,0.2988,14.715,15.0138,
15,0.25,-4.8683,5,0.75,0.55,0,0,0.55,0.2,0,0,0.2,0.4,0,0,0.4,1.1,0,0,1.1,0.1317,0,0.3025,14.715,15.0175,
16,0.267,-4.8591,5,0.75,0.5533,0,0,0.5533,0.2,0,0,0.2,0.4,0,0,0.4,1.1067,0,0,1.1067,0.1409,0,0.3062,14.715,15.0212,
17,0.283,-4.8498,5,0.75,0.5567,0,0,0.5567,0.2,0,0,0.2,0.4,0,0,0.4,1.1133,0,0,1.1133,0.1502,0,0.3099,14.715,15.0249,
18,0.3,-4.8405,5,0.75,0.56,0,0,0.56,0.2,0,0,0.2,0.4,0,0,0.4,1.12,0,0,1.12,0.1595,0,0.3136,14.715,15.0286,
19,0.317,-4.8311,5,0.75,0.5633,0,0,0.5633,0.2,0,0,0.2,0.4,0,0,0.4,1.1267,0,0,1.1267,0.1689,0,0.3173,14.715,15.0323,
20,0.333,-4.8217,5,0.75,0.5667,0,0,0.5667,0.2,0,0,0.2,0.4,0,0,0.4,1.1333,0,0,1.1333,0.1783,0,0.3211,14.715,15.0361,
21,0.35,-4.8122,5,0.75,0.57,0,0,0.57,0.2,0,0,0.2,0.4,0,0,0.4,1.14,0,0,1.14,0.1878,0,0.3249,14.715,15.0399,
22,0.367,-4.8026,5,0.75,0.5733,0,0,0.5733,0.2,0,0,0.2,0.4,0,0,0.4,1.1467,0,0,1.1467,0.1974,0,0.3287,14.715,15.0437,
23,0.383,-4.793,5,0.75,0.5767,0,0,0.5767,0.2,0,0,0.2,0.4,0,0,0.4,1.1533,0,0,1.1533,0.207,0,0.3325,14.715,15.0475,
24,0.4,-4.7833,5,0.75,0.58,0,0,0.58,0.2,0,0,0.2,0.4,0,0,0.4,1.16,0,0,1.16,0.2167,0,0.3364,14.715,15.0514,
25,0.417,-4.7736,5,0.75,0.5833,0,0,0.5833,0.2,0,0,0.2,0.4,0,0,0.4,1.1667,0,0,1.1667,0.2264,0,0.3403,14.715,15.0553,
26,0.433,-4.7638,5,0.75,0.5867,0,0,0.5867,0.2,0,0,0.2,0.4,0,0,0.4,1.1733,0,0,1.1733,0.2362,0,0.3442,14.715,15.0592,
27,0.45,-4.754,5,0.75,0.59,0,0,0.59,0.2,0,0,0.2,0.4,0,0,0.4,1.18,0,0,1.18,0.246,0,0.3481,14.715,15.0631,
28,0.467,-4.7441,5,0.75,0.5933,0,0,0.5933,0.2,0,0,0.2,0.4,0,0,0.4,1.1867,0,0,1.1867,0.2559,0,0.352,14.715,15.067,
29,0.483,-4.7342,5,0.75,0.5967,0,0,0.5967,0.2,0,0,0.2,0.4,0,0,0.4,1.1933,0,0,1.1933,0.2658,0,0.356,14.715,15.071,
30,0.5,-4.7242,5,0.75,0.6,0,0,0.6,0.2,0,0,0.2,0.4,0,0,0.4,1.2,0,0,1.2,0.2758,0,0.36,14.715,15.075,
31,0.517,-4.7141,5,0.75,0.6033,0,0,0.6033,0.2,0,0,0.2,0.4,0,0,0.4,1.2067,0,0,1.2067,0.2859,0,0.364,14.715,15.079,
32,0.533,-4.704,5,0.75,0.6067,0,0,0.6067,0.2,0,0,0.2,0.4,0,0,0.4,1.2133,0,0,1.2133,0.296,0,0.368,14.715,15.083,
33,0.55,-4.6938,5,0.75,0.61,0,0,0.61,0.2,0,0,0.2,0.4,0,0,0.4,1.22,0,0,1.22,0.3062,0,0.3721,14.715,15.0871,
34,0.567,-4.6836,5,0.75,0.6133,0,0,0.6133,0.2,0,0,0.2,0.4,0,0,0.4,1.2267,0,0,1.2267,0.3164,0,0.3762,14.715,15.0912,
35,0.583,-4.6733,5,0.75,0.6167,0,0,0.6167,0.2,0,0,0.2,0.4,0,0,0.4,1.2333,0,0,1.2333,0.3267,0,0.3803,14.715,15.0953,
