Frame,Time(s) (Seconds),Position_X (m),Position_Y (m),Position_Z (m),Velocity_X (m/s),Speed,Acceleration_X,Acc_Magnitude,Force_X,Force_Magnitude,Momentum_X,Momentum_Magnitude,Impact_Displacement,Backing_Displacement,Kinetic_Energy,Potential_Energy,Total_Energy,Event
1,0.017,-4.9916,5,0.75,0.5033,0.2,,,,,0.10066,0.04000000000000001,0.0084,0.0,0.2533,14.715,14.9683,BEFORE
2,0.033,-4.9832,5,0.75,0.5067,0.2327,0.21244945083747432,2.0447027808891085,0.04248989016749487,0.4089405561778217,0.10134000000000001,0.04654,0.0168,0.0,0.2567,14.715,14.9717,BEFORE
3,0.05,-4.9747,5,0.75,0.51,0.2653,0.19327216552306956,1.9178636120382804,0.03865443310461392,0.3835727224076561,0.10200000000000001,0.053059999999999996,0.0253,0.0,0.2601,14.715,14.9751,BEFORE
4,0.067,-4.9661,5,0.75,0.5133,0.298,0.19479082061003142,1.9231513846395458,0.038958164122006284,0.3846302769279092,0.10266,0.0596,0.0339,0.0,0.2635,14.715,14.9785,BEFORE
5,0.083,-4.9575,5,0.75,0.5167,0.3306,0.21306709207741548,2.0381389883816623,0.0426134184154831,0.4076277976763325,0.10334000000000002,0.06612,0.0425,0.0,0.2669,14.715,14.9819,BEFORE
6,0.1,-4.9488,5,0.75,0.52,0.3633,0.19404200323799328,1.9236836550652707,0.03880840064759866,0.38473673101305417,0.10400000000000001,0.07266,0.0512,0.0,0.2704,14.715,14.9854,BEFORE
7,0.117,-4.9401,5,0.75,0.5233,0.3959,0.1945737993212623,1.9170421730460143,0.03891475986425246,0.3834084346092029,0.10466,0.07918,0.0599,0.0,0.2739,14.715,14.9889,BEFORE
8,0.133,-4.9313,5,0.75,0.5267,0.4286,0.21214184037252568,2.0440567163982024,0.04242836807450514,0.4088113432796405,0.10533999999999999,0.08572,0.0687,0.0,0.2774,14.715,14.9924,BEFORE
9,0.15,-4.9225,5,0.75,0.53,0.4612,0.1940733922917754,1.9185767773278577,0.03881467845835508,0.38371535546557156,0.10600000000000001,0.09224,0.0775,0.0,0.2809,14.715,14.9959,BEFORE
10,0.167,-4.9136,5,0.75,0.5333,0.4939,0.19479400374486341,1.9236170260833414,0.038958800748972684,0.3847234052166683,0.10666,0.09878,0.0864,0.0,0.2844,14.715,14.9994,BEFORE
11,0.183,-4.9047,5,0.75,0.5367,0.5265,0.21329740005113346,2.0365936826556754,0.042659480010226694,0.4073187365311351,0.10733999999999999,0.1053,0.0953,0.0,0.288,14.715,15.003,BEFORE
12,0.2,-4.8957,5,0.75,0.54,0.5592,0.19438723782516457,1.923309307733249,0.03887744756503292,0.38466186154664983,0.10800000000000001,0.11184000000000001,0.1043,0.0,0.2916,14.715,15.0066,BEFORE
13,0.217,-4.8866,5,0.75,0.5433,0.5918,0.1942747058666844,1.9174058655277906,0.038854941173336884,0.3834811731055581,0.10866,0.11836,0.1134,0.0,0.2952,14.715,15.0102,BEFORE
